#--------------------------------------------------------------------------
#Freq     	Flux     Flux_err   theta1  theta2  Flag
# GHz     	mJy      mJy        arcsec  arcsec  0=data,1=UL,2=fake,4=LL
#--------------------------------------------------------------------------
1.4         60.5     2.4         8.1    3.6    0
1.5         63.5     4.8         45.0   45.0   0
4.9         19.5     0.8         1.3    0.5    0
8.4         13.9     1.2         0.8    0.4    0
22.0        10.1     0.2         2.65   0.83   0
33.0        14.3     1.6         8.5    5.0    0
35.0        14.7     1.7         8.0    4.7    0
90.5        8.00     0.49        0.45   0.44   0
92.4        7.92     0.49        0.44   0.43   0
102.5       8.07     0.50        0.43   0.40   0
104.5       7.81     0.47        0.42   0.39   0
138.0       6.69     0.38        0.28   0.25   0
139.9       6.79     0.39        0.27   0.25   0
150.0       6.45     0.39        0.29   0.24   0
152.0       6.27     0.38        0.25   0.23   0
213.0       4.39     1.21        0.17   0.15   0
215.0       4.85     0.84        0.18   0.16   0
229.0       5.17     0.92        0.18   0.14   0
231.0       4.98     0.94        0.16   0.14   0
263.0       13.0     0.2         0.95   0.53   0
1199.2      488      73          7.0    7.0    0
