#--------------------------------------------------------------------------
#Freq     	Flux     Flux_err   theta1  theta2  Flag
# GHz     	mJy      mJy        arcsec  arcsec  0=data,1=UL,2=fake,4=LL
#--------------------------------------------------------------------------
1.51       	197        	1       28.4     28.4        0
3.0        	74        	10    	2.6      3.0         0
4.91       	17.0        0.2    	0.84     0.84        0
4.91       	43.1        2.0    	1.1      1.3         0
8.49       	7.5        	0.1    	0.38     0.38        0
8.49       	27        	2.0    	1.1      1.1         0
14.9       	4.5         0.1    	0.22     0.22        0
14.9       	15.2        1.3    	1.1      1.1         0
22       	5.95        0.4    	0.14     0.14        0
22    		13.84    	2.6    	1     	 1       	 0
22    		15.85    	3.1    	6     	 6      	 0
45    		8.4    		1.7    	1     	 1      	 0
100   	   	18.33       2.0    	2     	 2       	 0
100   	   	7.5         0.2    	1     	 1       	 0
1199.2   	2531        270    	7     	 7       	 0

