#--------------------------------------------------------------------------
#Freq     	Flux     Flux_err   theta1  theta2  Flag
# GHz     	mJy      mJy        arcsec  arcsec  0=data,1=UL,2=fake,4=LL
#--------------------------------------------------------------------------
1.4        	1.55       0.3      10.0     	10.0        0
3.0        	0.94       0.2      3.6      	2.0         0
4.9        	0.9        0.2      1.4       	1.4         0
5.5        	0.28       0.06     1.5       	0.7         0
8.49       	0.12       0.04     0.52      	0.22        0
9.0       	0.408      0.035    0.8      	0.3         0
90.5208    	0.593      0.04     0.090     	0.090       0
92.4165    	0.594      0.04     0.090     	0.090       0
102.5218   	0.572      0.04     0.090     	0.090       0
104.48     	0.603      0.04     0.090     	0.090       0
226.310    	0.5587     0.04     0.123     	0.123       0
240.830    	0.5271     0.04     0.123     	0.123       0
228.806    	0.5883     0.04     0.123     	0.123       0
243.082    	0.5422     0.04     0.123     	0.123       0
348.4      	1.0        0.2      0.27     	0.24        0
856.6  		86    	   8     	7      		7      		0
1199   		233    	   4     	7      		7      		0

