#--------------------------------------------------------------------------
#Freq     	Flux     Flux_err   theta1  theta2  Flag
# GHz     	mJy      mJy        arcsec  arcsec  0=data,1=UL,2=fake,4=LL
#--------------------------------------------------------------------------
600.0      1815.2     68         60        60         0
485.0      1.49       0.64       0.157     0.121      0
350.0      2.0        0.2        0.5       0.5        0
350.0      0.9        0.1        0.2       0.2        0
230.0      1.7        0.2        0.5       0.5        0
230.0      0.7        0.1        0.2       0.2        0
107.87     1.27       0.25       0.16      0.11       0
97.5       1.28       0.35       0.13      0.09       0
95.17      2.1        0.7        0.66      0.45       0
95         4.1        0.2        2.2       2.2        0
89         1.79       0.12       1.15      1.05       0
#43.34     0.082      0.0407     0.043     0.028      1
22         4.13       0.8        1.0       1.0        0
22         6.95       1.4        6.0       6.0        0
15.0       4.7        0.3        0.15      0.15       0
14.9       6.8        2.2        0.90      0.57       0
10         3.75       0.20       0.18      0.16       0
8.5        12.2       1.3        0.2       0.2        0
8.46       15.4       0.5        2.6       2.6        0
6          7.89       0.44       0.30      0.23       0
5.0        35.0       0.7        15        15         0
5.0        15         2          0.33      0.33       0
5.0        0.6       0.07        1.2e-3    1.2e-3     0
3.0        41.4       0.5        2.71      2.67       0
1.7        1.22      0.12        5.9e-3    5.9e-3     0
1.4        78.2       5.0        0.3       0.3        0
1.4        82.7       0.5        5.7       5.7        0
0.887      117        15         25.5      25.1       0
