#--------------------------------------------------------------------------
#Freq     	Flux     Flux_err   theta1  theta2  Flag
# GHz     	mJy      mJy        arcsec  arcsec  0=data,1=UL,2=fake
#--------------------------------------------------------------------------
#0.887  	22.6   	5.6    		29.4   32.5   0
1.4    		5.4    	0.5    		6.25   6.65   0
1.5    		4.7    	1.4    		4.7    2.6    0
4.9    		1.2    	0.3    		0.5    0.4    0
8.4    		1.1    	0.2    		0.9    0.7    0
8.49   		0.89   	0.08   		0.26   0.21   0
14.9   		0.75   	0.25   		0.4    0.17   1
19.0   		1.7    	0.7    		16.1   8.6    0
21.0   		1.5    	0.7    		14.3   7.8    0
22.5   		1.2    	0.4    		0.39   0.23   0
22.5   		1.9    	0.3    		3.8    1.7    0
43.3   		3.1    	1.2    		0.3    0.1    0
90.5   		1.72   	0.12   		0.25   0.22   0
92.4   		1.92   	0.13   		0.25   0.21   0
102.5  		1.64   	0.13   		0.23   0.19   0
104.5  		1.59   	0.13   		0.22   0.19   0
138.0  		1.71  	0.14   		0.17   0.14   0
139.9  		1.54   	0.12   		0.18   0.15   0
150.0  		1.44   	0.12  		0.16   0.13   0
151.8  		1.57   	0.12   		0.16   0.13   0
213.0  		1.35   	0.10  		0.12   0.10   0
215.0  		1.27   	0.10   		0.12   0.09   0
229.0  		1.26   	0.10   		0.11   0.09   0
231.0  		1.22   	0.09   		0.11   0.09   0
599.6  		184    	25     		7      7      0
856.6  		486    	51     		7      7      0
1199   		951    	67     		7      7      0
