Sample		Galaxy		D_Lum	log(M_BH)	d_log(M_BH)	Method		log(L_mm)		log(L_X_2-10)		d_log(L_X_2-10)
NaN		NaN		Mpc	M_sun		dex		NaN		erg_s-1			erg_s-1			dex
WISDOM		FRL49		85.7	8.20		0.20		Dyn		39.28			43.27			0.04
WISDOM		FRL1146		136.7	7.85		0.30		σ⋆		<38.76			43.41			0.04
WISDOM		MRK567		140.6	7.48		0.30		σ⋆		39.39			--			--
WISDOM		NGC0404		 3.0	5.74		0.30		Dyn		35.99			37.20			0.04
WISDOM		NGC0449		66.3	8.77		0.30		σ⋆		38.87			40.58			0.04
WISDOM		NGC0524		23.3	8.60		0.32		Dyn		38.94			38.55			0.04
WISDOM		NGC0708		58.3	8.30		0.30		Dyn		39.10			39.39			0.04
WISDOM		NGC1194		53.2	7.85		0.10		Dyn		39.09			41.54			0.04
WISDOM		NGC1387		19.9	6.90		0.20		Dyn		38.07			39.33			0.04
WISDOM		NGC1574		19.3	8.05		0.20		Dyn		38.55			--			--
WISDOM		NGC2110		35.6	8.77		0.30		σ⋆		39.89			42.71			0.04
WISDOM		NGC3169		18.7	7.85		0.30		σ⋆		38.53			41.53			0.04
WISDOM		NGC3351		10.0	5.85		0.30		σ⋆		<37.25			38.74			0.04
WISDOM		NGC3368		18.0	6.87		0.10		Dyn		<37.73			39.30			0.05
WISDOM		NGC3607		22.2	8.14		0.15		Dyn		38.58			39.16			0.04
WISDOM		NGC4061		94.1	9.30		0.30		Dyn		39.78			--			--
WISDOM		NGC4429		16.5	8.17		0.10		Dyn		38.08			39.12			0.10
WISDOM		NGC4435		16.5	7.40		0.20		Dyn		37.76			39.47			0.04
WISDOM		NGC4438		16.5	7.70		0.30		σ⋆		37.61			39.08			0.04
WISDOM		NGC4501		14.0	6.79		0.30		σ⋆		37.90			40.0.9			0.04
WISDOM		NGC4697		11.4	7.20		0.10		Dyn		37.25			38.52			0.04
WISDOM		NGC4826		 7.4	6.20		0.11		Dyn		36.99			37.96			0.11
WISDOM		NGC5064		34.0	8.39		0.30		σ⋆		37.96			--			--
WISDOM		NGC5765b	114.0	7.32		0.30		σ⋆		39.06			40.73			0.05
WISDOM		NGC5806		21.4	6.95		0.30		σ⋆		<37.26			--			--
WISDOM		NGC5995		107.5	8.55		0.30		σ⋆		39.51			43.39			0.04
WISDOM		NGC6753		42.0	8.42		0.30		σ⋆		<37.82			--			--
WISDOM		NGC6958		30.6	7.89		0.30		σ⋆		39.47			--			--
WISDOM		NGC7052		51.6	8.91		0.30		σ⋆		40.13			40.02			0.05
WISDOM		NGC7172		33.9	8.05		0.30		σ⋆		39.44			43.00			0.05
WISDOM		PGC043387	95.8	8.42		0.30		σ⋆		38.90			--			--
Liter		Circinus	 4.2	6.23		0.08		Dyn		37.57			42.20			0.04
Liter		IC1459		25.9	9.45		0.30		Dyn		40.60			40.91			0.10
Liter		M87		16.5	9.81		0.04		Dyn		40.75			40.56			0.05
Liter		NGC1316		19.9	8.23		0.08		Dyn		38.73			39.65			0.04
Liter		NGC1332		22.3	8.82		0.04		Dyn		38.91			39.15			0.08
Liter		NGC1380		17.1	8.17		0.17		Dyn		38.53			39.07			0.04
Liter		NGC3227		17.0	7.18		0.17		Dyn		37.70			41.95			0.09
Liter		NGC3245		21.5	8.32		0.10		Dyn		38.42			38.88			0.09
Liter		NGC3393		53.6	7.52		0.03		Dyn		38.34			40.92			0.09
Liter		NGC3489		12.0	6.78		0.07		Dyn		36.77			39.07			0.09
Liter		NGC3504		13.6	7.00		0.07		Dyn		38.38			41.05			0.09
Liter		NGC3585		20.6	8.52		0.13		Dyn		37.89			38.85			0.04
Liter		NGC4374		18.5	8.96		0.05		Dyn		39.84			39.95			0.04
Liter		NGC4388		19.8	6.94		0.01		Dyn		38.88			42.33			0.05
Liter		NGC4395		 4.4	5.60		0.31		Dyn		35.85			39.91			0.05
Liter		NGC6861		27.3	9.30		0.22		Dyn		39.52			39.29			0.04
Liter		UGC2698		91.0	9.39		0.12		Dyn		39.53			40.46			0.09
